year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,sale_date,sale_time
2003,Honda,Accord,EX V-6,Sedan,Automatic,1hgcm66513a066452,NJ,14,101382,Gray,Black,auto liquidations inc,3900,3100,2015-05-27,02:30:00
2013,Infiniti,G Sedan,G37x,G Sedan,Automatic,jn1cv6ar0dm352396,TX,47,19961,Red,Black,nissan infiniti lt,21700,21600,2015-05-27,03:30:00
2012,Infiniti,G Sedan,G25x,G Sedan,Automatic,jn1dv6ar1cm861402,NJ,39,32408,Black,Gray,nissan infiniti lt,17350,17000,2015-05-27,02:30:00
2010,Infiniti,M35,Base,Sedan,Automatic,jn1cy0ap5am912153,TX,43,91410,Silver,Black,tdaf remarketing,13550,13000,2015-05-27,03:00:00
2014,Jeep,Compass,Sport,SUV,Automatic,1c4njdbb9ed569664,WA,33,29893,Black,Gray,avis corporation,15800,15800,2015-05-27,06:00:00
2013,Kia,Optima,LX,Sedan,Automatic,5xxgm4a74dg207761,CA,31,52281,Gray,Beige,the hertz corporation,11150,11000,2015-05-27,05:30:00
2007,Lexus,ES 350,Base,Sedan,Automatic,jthbj46g872033990,FL,42,89077,Red,Beige,lexus of pembroke pines,10850,11800,2015-05-27,02:35:00
2013,Mercedes-Benz,GL-Class,GL450 4MATIC,SUV,Automatic,4jgdf7ce3da224875,UT,41,41650,White,Black,the hertz corporation,40500,40750,2015-05-27,04:30:00
2012,Mini,Cooper,S,Hatchback,Automatic,wmwsv3c57cty28565,GA,48,16621,Red,Black,bmw mini financial services,16050,16600,2015-05-27,03:00:00
2013,Ram,1500,Tradesman,Crew Cab,Automatic,1c6rr6kt2ds562913,TX,3,34145,Orange,Gray,chrysler capital,22500,21800,2015-05-27,03:30:00
2005,Saturn,VUE,Base,SUV,Automatic,5gzcz634x5s817538,CO,23,178885,Blue,Gray,wells fargo dealer services,1700,1400,2015-05-27,04:45:00
2007,Toyota,Avalon,XL,Sedan,Automatic,4t1bk36b07u214529,TX,38,120846,Burgundy,Tan,dt credit corporation,7050,7000,2015-05-27,03:00:00
2013,Toyota,Camry,LE,Sedan,Automatic,4t1bf1fkxdu234226,FL,26,55982,Silver,—,the hertz corporation,11700,11100,2015-05-27,02:30:00
2008,Toyota,Tundra,SR5,Double Cab,Automatic,5tfru54158x016676,TX,19,86434,White,Gray,cm investments,14250,13000,2015-05-27,03:00:00
2010,Volvo,XC60,T6 R-Design,SUV,Automatic,yv4992dz2a2084584,NJ,47,87369,Black,Tan,joshua motor car co inc,15400,16000,2015-05-27,02:30:00
2000,Acura,RL,3.5,Sedan,Automatic,jh4ka9653yc000466,FL,19,136758,White,Tan,coggin honda of orlando,1525,1700,2015-05-28,09:20:00
2011,Bmw,X6,xDrive35i,SUV,Automatic,5uxfg2c54blx06459,CA,37,41245,White,Brown,800 loan mart,35600,33800,2015-05-28,05:00:00
2007,Cadillac,DTS,Base,Sedan,Automatic,1g6kd57y27u184286,VA,27,97761,Beige,Beige,shirlie slack mitsubishi,6375,7300,2015-05-28,02:35:00
2008,Chevrolet,Avalanche,LT,Crew Cab,Automatic,3gnec12038g180573,CA,38,88582,Black,Black,reliance motors llc,14550,16750,2015-05-28,05:00:00
2008,Ford,F-150,XLT,SuperCrew,Automatic,1ftpw02528kc33920,CA,36,188228,White,Gray,ge fleet services for itself/servicer,5825,7600,2015-05-28,05:00:00
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h72er130141,CA,37,26779,Gray,Black,donlen corporation,13600,12000,2015-05-28,05:00:00
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap1dm713813,FL,41,24091,Gray,Black,nissan infiniti lt,20700,20000,2015-05-28,02:15:00
2014,Jeep,Cherokee,Limited,SUV,Automatic,1c4pjmdb0ew190398,PA,5,11938,White,Black,fca us llc,25500,22800,2015-05-28,02:30:00
2014,Nissan,Armada,SV,SUV,Automatic,5n1aa0nc9en605242,IL,29,20450,Black,Beige,nissan north america inc.,29300,28000,2015-05-28,03:00:00
2013,Nissan,Maxima,3.5 SV,Sedan,Automatic,1n4aa5apxdc800132,AZ,21,52929,Silver,Black,the hertz corporation,13900,13300,2015-05-28,05:00:00
2012,Volkswagen,Jetta,TDI,Sedan,Automatic,3vwll7aj7cm368713,GA,43,20805,Silver,Black,onesource/savannah toyota scion,15100,15900,2015-05-28,03:00:00
2012,Bmw,3 Series,328i,Coupe,Automatic,wbake3c55ce769908,FL,37,40269,White,Red,lauderdale imports ltd bmw pembrok pines,19800,21400,2015-05-29,02:35:00
2012,Bmw,5 Series,535i,Sedan,Automatic,wbafr7c55cc809378,NV,47,48504,Black,Black,unique autos,27800,32000,2015-05-29,04:55:00
2012,Bmw,5 Series,535i,Sedan,Automatic,wbafr7c59cc810436,FL,41,29652,Gray,Gray,prestige audi,30300,29200,2015-05-29,02:35:00
2013,Jeep,Wrangler,Unlimited Sport,SUV,Manual,1c4bjwdg0dl593248,PA,49,17629,Gray,Black,stoney ledge auto sales llc,26700,32750,2015-05-29,02:00:00
2012,Kia,Sportage,EX,SUV,Automatic,kndpc3a27c7292930,NC,39,75000,Silver,Beige,hendrick toyota scion wilmington,13550,14000,2015-05-29,02:30:00
2013,Lexus,GS 350,Base,Sedan,Automatic,jthbe1blxd5025180,FL,49,26739,Gray,Black,jm lexus,31300,33000,2015-05-29,02:30:00
2010,Toyota,Corolla,S,Sedan,Automatic,2t1bu4ee2ac325104,PA,39,47088,Black,Black,melvin g rhoades auto sales llc,8925,11500,2015-05-29,02:15:00
2007,Buick,Lucerne,CXS,Sedan,Automatic,1g4he57y17u206116,NC,19,97742,Black,Gray,remarketing by ge/manheim north carolina,5500,6500,2015-06-01,02:00:00
2014,Cadillac,XTS,Luxury,Sedan,Automatic,2g61m5s35e9170755,FL,3,24906,Black,Black,gm remarketing,31000,31400,2015-06-01,06:00:00
2012,Toyota,Corolla,LE,Sedan,Automatic,2t1bu4ee2cc840994,OH,37,38761,White,Gray,toyota financial services,10200,9900,2015-06-01,09:00:00
2003,Bmw,3 Series,330xi,Sedan,Automatic,wbaew53463pn30157,MA,22,140755,White,Gray,boch honda west,3650,4700,2015-06-02,02:30:00
