year,make,model,trim,body,transmission,vin,state,condition,odometer,color,interior,seller,mmr,sellingprice,sale_date,sale_time
2014,Dodge,Grand Caravan,SXT,Minivan,Automatic,2c4rdgcg6er477882,PA,4,15750,Black,Black,enterprise holdings/gdp,17000,17300,2015-06-11,02:30:00
2012,Honda,Odyssey,LX,Minivan,Automatic,5fnrl5h21cb098771,IL,25,37693,Gray,Gray,ahfc/honda lease trust/hvt  inc.,14950,16100,2015-06-11,03:00:00
2014,Jeep,Cherokee,Limited,SUV,Automatic,1c4pjmdb1ew237633,PA,5,9734,Red,Gray,fca us llc,23200,20800,2015-06-11,02:30:00
2014,Jeep,Compass,Sport,SUV,Automatic,1c4njdbb9ed865316,PA,5,20982,Black,Black,hertz corporation/gdp,16200,17000,2015-06-11,02:30:00
2014,Kia,Rio,LX,Sedan,Automatic,knadm4a3xe6352252,MI,37,40978,Black,Gray,avis corporation,9400,9800,2015-06-11,04:00:00
2011,Mercedes-Benz,C-Class,C300 Luxury 4MATIC,Sedan,Automatic,wddgf8bb4br140406,FL,37,59585,—,Black,mercedes-benz finc wholesale advantage,16250,16200,2015-06-11,02:30:00
2012,Mercedes-Benz,CLS-Class,CLS550 4MATIC,Sedan,Automatic,wddlj9bb5ca043198,PA,39,54539,White,Tan,terryville chevrolet llc,37200,36800,2015-06-11,02:30:00
2012,Toyota,Prius,Three,Hatchback,Automatic,jtdkn3duxc1566920,GA,47,26246,Blue,Gray,world omni financial corporation,13300,13700,2015-06-11,03:00:00
2008,Toyota,RAV4,Limited,SUV,Automatic,jtmbd31v785208948,VA,27,138652,Silver,Gray,carex inc,8000,8500,2015-06-11,02:35:00
2009,Volvo,S80,3.2,Sedan,Automatic,yv1as982591102856,FL,45,40269,White,Tan,andrew thomas motorcars,12550,13300,2015-06-11,02:35:00
2014,Ford,F-150,XLT,SuperCrew,Automatic,1ftfw1ef8eke02257,PA,25,24477,Orange,Gray,j mark martin auto sales llc,28400,34500,2015-06-12,02:30:00
2012,Honda,Accord,SE,Sedan,Automatic,1hgcp2f62ca122164,PA,33,25951,Black,Black,ahfc/honda lease trust/hvt  inc. eot,12950,11500,2015-06-12,02:00:00
2008,Infiniti,G37,Sport,Coupe,Manual,jnkcv64e48m125772,PA,35,74545,Black,Black,r hollenshead auto sales inc,14800,16000,2015-06-12,02:00:00
2014,Nissan,Maxima,3.5 S,Sedan,Automatic,1n4aa5ap2ec444762,NV,36,34019,White,Black,enterprise veh exchange/rental,16000,16000,2015-06-12,05:00:00
2012,Nissan,Rogue,SV,SUV,Automatic,jn8as5mv2cw415652,PA,46,36953,Off-White,Gray,nissan-infiniti lt,14200,16300,2015-06-12,02:00:00
2012,Lexus,IS 250,Base,Sedan,Automatic,jthcf5c25c5055278,FL,37,27620,Black,Black,lexus financial services,21700,21000,2015-06-15,11:00:00
2011,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pf5s99b7228846,OR,39,88639,Silver,Black,gm financial,7325,8800,2015-06-16,05:00:00
2012,Chevrolet,Malibu,LS Fleet,Sedan,Automatic,1g1za5eu8cf304913,CA,36,42608,—,Gray,lease plan usa,10350,10900,2015-06-16,05:00:00
2014,Chevrolet,Sonic,LT,Sedan,Automatic,1g1jc5sh9e4200458,FL,3,29439,Gray,Black,gm remarketing,9825,9200,2015-06-16,02:15:00
2007,Dodge,Charger,SRT-8,Sedan,Automatic,2b3ka73w57h652201,CA,35,109612,Silver,Gray,unique automotive ltd,14950,15000,2015-06-16,05:30:00
2007,Dodge,Dakota,ST,Club Cab,Automatic,1d7he22k97s209708,GA,33,71645,White,Gray,santander consumer,6575,7500,2015-06-16,02:30:00
2012,Ford,Escape,XLT,SUV,Automatic,1fmcu9dg8ckb77185,OH,48,18678,Gray,Black,ford motor credit company llc,17600,19000,2015-06-16,02:00:00
2005,Ford,Five Hundred,SEL,Sedan,Automatic,1fafp24135g146207,TN,28,124169,Gold,Tan,dt credit corporation,2675,3900,2015-06-16,03:30:00
2013,Hyundai,Elantra,GLS,Sedan,Automatic,5npdh4ae2dh316939,MO,43,25791,Brown,Beige,gmt auto sales inc,11100,11400,2015-06-16,04:00:00
2013,Hyundai,Sonata,GLS,Sedan,Automatic,5npeb4ac3dh528625,CA,35,35951,White,—,hyundai motor finance,11700,12000,2015-06-16,05:30:00
2012,Infiniti,G Sedan,G25x,G Sedan,Automatic,jn1dv6ar3cm730729,OH,4,46218,White,Gray,infiniti financial services,16200,17200,2015-06-16,02:30:00
2001,Isuzu,Trooper,Limited,SUV,Automatic,jacds58x217j03972,GA,29,201245,Red,—,autonation volkswagen mall of georgia,325,1250,2015-06-16,05:50:00
2012,Kia,Forte,EX,Sedan,Automatic,knafu4a28c5606821,OH,35,25228,Silver,Black,hyundai motor finance,9800,9600,2015-06-16,02:30:00
2013,Kia,Forte,Koup EX,Koup,Automatic,knafu6a24d5743137,MD,28,58496,Silver,Black,exeter finance corp,9950,7000,2015-06-16,02:30:00
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap9dn556962,FL,38,56358,Silver,Black,dtg operations inc,10800,11300,2015-06-16,02:15:00
2009,Toyota,Prius,Touring,Hatchback,Automatic,jtdkb20u693470949,MA,27,125931,Gray,Gray,boch toyota/scion south,6425,5800,2015-06-16,02:30:00
2004,Toyota,Sienna,XLE 7-Passenger,Minivan,Automatic,5tdza22c64s177341,GA,22,280059,Burgundy,Gray,riverside toyota scion,3675,4100,2015-06-16,05:30:00
2011,Bmw,3 Series,328i,Sedan,Automatic,wbaph5g5xbnm81383,CA,4,33847,Blue,Black,mercedes benz of temecula,17350,16000,2015-06-17,05:15:00
2013,Chevrolet,Cruze,1LT,Sedan,Automatic,1g1pc5sb5d7230849,MO,35,69045,Gray,Black,sutton ford/ge,8650,9000,2015-06-17,03:30:00
2013,Chevrolet,Equinox,LT,SUV,Automatic,2gnaldek4d6363970,MN,43,24972,Black,Black,lease plan usa,17200,17700,2015-06-17,03:30:00
2011,Chevrolet,HHR,LT,Wagon,Automatic,3gnbabfw5bs501336,CA,23,51930,Blue,Black,meridian remarketing,7750,6900,2015-06-17,05:30:00
2013,Chevrolet,Impala,LS Fleet,Sedan,Automatic,2g1wf5e30d1226616,CA,35,59288,Gray,Black,the hertz corporation,8875,8900,2015-06-17,05:30:00
2002,Chevrolet,Suburban,1500 LS,SUV,Automatic,1gnfk16zx2j100157,NM,28,136263,Silver,Beige,credit acceptance corp/vrs/southfield,3100,4000,2015-06-17,04:30:00
2012,Chrysler,300,S V6,Sedan,Automatic,2c3ccabg5ch140523,WI,42,21389,Black,Black,new look enterprises inc,20300,19100,2015-06-17,03:00:00
2006,Chrysler,300,Base,Sedan,Automatic,2c3la43r96h493956,PA,22,49767,Silver,Gray,ron lewis chrysler dodge jeep ram,6475,5100,2015-06-17,05:00:00
2012,Ford,Edge,SEL,SUV,Automatic,2fmdk3j9xcba29319,TN,42,21641,Red,Tan,wholesale inc # 2,19950,18500,2015-06-17,03:30:00
2014,Ford,F-150,SVT Raptor,SuperCrew,Automatic,1ftfw1r64efc42784,MN,5,1940,Black,Black,hebert auto,57600,55750,2015-06-17,03:30:00
2013,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h74dr221670,FL,25,72503,Gray,Black,dtg operations inc,10500,9700,2015-06-17,02:10:00
2012,Ford,Fusion,SEL,Sedan,Automatic,3fahp0jg6cr352424,MO,46,29736,Red,Beige,ford motor credit company llc,13300,13700,2015-06-17,03:00:00
2014,Ford,Fusion Energi,SE Luxury,Sedan,Automatic,3fa6p0pu9er146442,TN,47,10018,—,Black,woody anderson ford,22800,22500,2015-06-17,03:30:00
2014,Gmc,Terrain,SLT-2,SUV,Automatic,2gkflye36e6211211,WI,44,38863,Silver,Black,remarketing by ge/bwas,24200,23600,2015-06-17,03:00:00
2007,Gmc,Yukon,Denali,SUV,Automatic,1gkfk63887j236994,CA,4,106760,Black,Black,california auto wholesale,16350,20000,2015-06-17,05:30:00
2013,Infiniti,G Sedan,G37 Journey,G Sedan,Automatic,jn1cv6ap6dm717825,FL,39,22664,Black,Black,nissan infiniti lt,20800,21000,2015-06-17,02:40:00
2014,Kia,Optima,LX,Sedan,Automatic,5xxgm4a78eg344266,WI,48,11467,White,Beige,kia motors america  inc,14900,14400,2015-06-17,03:30:00
2007,Lexus,IS 250,Base,Sedan,Automatic,jthbk262672052690,CA,38,147968,White,Black,onemain rem/delta dealer,8200,9100,2015-06-17,05:30:00
2011,Mini,Cooper,S,Hatchback,Automatic,wmwsv3c56bty11478,FL,41,42354,Gray,Black,braman motorcars,12200,11700,2015-06-17,17:00:00
2013,Mini,Cooper Countryman,Base,Wagon,Automatic,wmwzb3c54dwm09998,FL,47,29877,Blue,Black,braman motors,17200,17400,2015-06-17,02:40:00
2013,Nissan,Altima,2.5,Sedan,Automatic,1n4al3ap5dc169885,NJ,29,25642,Black,Black,nissan-infiniti lt,12850,12600,2015-06-17,02:30:00
2013,Nissan,Leaf,SV,Hatchback,Automatic,1n4az0cpxdc403691,CA,28,30000,Black,Black,nissan-infiniti lt,8150,7700,2015-06-17,05:30:00
2013,Ram,1500,Tradesman,Crew Cab,Automatic,1c6rr6kt0ds707706,TX,43,30175,Gray,Gray,hacienda ford,22100,23500,2015-06-17,03:20:00
2007,Toyota,Camry,LE,Sedan,Automatic,4t1be46k37u165615,VA,24,106157,Gray,Gray,wells fargo dealer services,6350,5400,2015-06-17,02:30:00
2014,Toyota,Camry,SE,Sedan,Automatic,4t1bf1fk6eu406043,CA,39,21893,White,Black,toyota motor sales usa inc/program,15650,15700,2015-06-17,05:30:00
2011,Toyota,Camry,LE,Sedan,Automatic,4t1bf3ek9bu128392,TX,29,100945,Gold,Tan,chrysler capital,8225,8500,2015-06-17,03:30:00
2012,Toyota,Corolla,LE,Sedan,Automatic,2t1bu4ee8cc881145,NJ,28,35148,Gold,Beige,toyota financial services,10050,9200,2015-06-17,02:30:00
2004,Toyota,Prius,Base,Hatchback,Automatic,jtdkb20u640100403,PA,27,162286,Blue,Beige,harrison auto sales,3000,2700,2015-06-17,05:00:00
2012,Toyota,Tacoma,Base,Regular Cab,Manual,5tfpx4en4cx011410,NJ,46,32234,White,Gray,mercedes benz and porsche of atlantic city,16950,18000,2015-06-17,02:30:00
2013,Audi,S5,Premium Plus quattro,Convertible,Automatic,waucgafhxdn007751,CA,49,20338,White,Black,vw credit prequalified,44600,43500,2015-06-18,05:30:00
2012,Bmw,X3,xDrive28i,SUV,Automatic,5uxwx5c56cl725467,FL,27,18869,Blue,Beige,financial services remarketing (lease),27100,24800,2015-06-18,04:45:00
2009,Chevrolet,Cobalt,LT,Sedan,Automatic,1g1at58h397108743,GA,15,114298,Gray,Gray,automobile acceptance corp,3625,2800,2015-06-18,03:00:00
2013,Chevrolet,Tahoe,LTZ,SUV,Automatic,1gnskce01dr300085,AZ,34,52272,White,Black,the hertz corporation,32200,31600,2015-06-18,05:30:00
2002,Chevrolet,TrailBlazer,LS,SUV,Automatic,1gnds13s722199058,FL,22,195818,White,Gray,asanka cars.com inc,1750,1200,2015-06-18,04:30:00
2015,Chrysler,200,Limited,Sedan,Automatic,1c3cccab0fn570389,GA,2,17131,White,Black,enterprise vehicle exchange / tra / rental / tulsa,15150,11900,2015-06-18,05:30:00
2010,Dodge,Journey,SE,SUV,Automatic,3d4pg4fb8at158474,FL,19,122842,Silver,Black,santander consumer,4975,4100,2015-06-18,02:35:00
2014,Ford,E-Series Van,E-250,E-Series Van,Automatic,1ftne2ewxeda63560,MI,38,12064,White,Gray,u-haul,19450,19500,2015-06-18,02:30:00
2012,Ford,Edge,SE Fleet,SUV,Automatic,2fmdk4gcxcba93966,IL,34,61342,Black,Black,advantage chevrolet/ge,14750,14000,2015-06-18,03:00:00
2013,Ford,Escape,Titanium,SUV,Automatic,1fmcu9j95duc94105,AZ,42,27725,Black,Black,earnhardt,21700,22200,2015-06-18,05:00:00
2010,Honda,Pilot,EX-L,SUV,Automatic,5fnyf3h52ab014259,GA,28,175335,Silver,Black,nalley ford sandy springs,9925,10500,2015-06-18,03:00:00
2015,Kia,Sorento,LX,SUV,Automatic,5xyktda70fg648072,FL,49,11476,Black,Black,kia motors america  inc,20900,20500,2015-06-18,02:35:00
2012,Lexus,IS 250,Base,Sedan,Automatic,jthbf5c25c5177540,AZ,25,31865,Black,Black,lexus financial services,20700,18500,2015-06-18,05:00:00
2007,Lexus,IS 250,Base,Sedan,Automatic,jthbk262775026386,TX,34,150230,Black,Black,texas direct auto,8300,6700,2015-06-18,03:30:00
2012,Mini,Cooper,Base,Hatchback,Automatic,wmwsu3c5xct262601,CA,38,30917,Blue,—,bmw mini financial services,11350,11000,2015-06-18,05:30:00
2012,Nissan,Rogue,SV,SUV,Automatic,jn8as5mv1cw714033,IL,39,41471,Black,Black,nissan-infiniti lt,13800,15600,2015-06-18,03:00:00
2010,Ford,F-150,XLT,SuperCrew,Automatic,1ftew1c85afc91041,NV,38,68586,Black,Beige,las vegas motorcars llc,17450,16750,2015-06-19,05:00:00
2014,Ford,Fusion,SE,Sedan,Automatic,3fa6p0h74er320541,NV,37,28263,Silver,Black,malco enterprise of nevada/dba budget,13450,13000,2015-06-19,05:00:00
2006,Porsche,Cayenne,Base,SUV,Automatic,wp1aa29p16la25637,NV,36,55396,Burgundy,Beige,bul connections llc,12250,14300,2015-06-19,04:45:00
2014,Lexus,LS 460,Base,Sedan,Automatic,jthbl5ef1e5127715,FL,44,26427,Black,Beige,enterprise fleet management exchange,56400,55500,2015-07-07,06:30:00
